GEO,SEX,AGE_GROUP,VALUE,YEAR
Canada,Both sexes,All ages,38929902,2022
Canada,Both sexes,0 to 4 years,1881099,2022
Canada,Both sexes,0 years,368637,2022
Canada,Both sexes,1 year,363962,2022
Canada,Both sexes,2 years,375409,2022
Canada,Both sexes,3 years,381812,2022
Canada,Both sexes,4 years,391279,2022
Canada,Both sexes,5 to 9 years,2062572,2022
Canada,Both sexes,5 years,400703,2022
Canada,Both sexes,6 years,410034,2022
Canada,Both sexes,7 years,414410,2022
Canada,Both sexes,8 years,417054,2022
Canada,Both sexes,9 years,420371,2022
Canada,Both sexes,10 to 14 years,2126905,2022
Canada,Both sexes,10 years,421867,2022
Canada,Both sexes,11 years,420405,2022
Canada,Both sexes,12 years,427630,2022
Canada,Both sexes,13 years,428824,2022
Canada,Both sexes,14 years,428179,2022
Canada,Both sexes,15 to 19 years,2124972,2022
Canada,Both sexes,15 years,418765,2022
Canada,Both sexes,16 years,412727,2022
Canada,Both sexes,17 years,412007,2022
Canada,Both sexes,18 years,428221,2022
Canada,Both sexes,19 years,453252,2022
Canada,Both sexes,20 to 24 years,2520278,2022
Canada,Both sexes,20 years,476692,2022
Canada,Both sexes,21 years,495224,2022
Canada,Both sexes,22 years,513830,2022
Canada,Both sexes,23 years,513621,2022
Canada,Both sexes,24 years,520911,2022
Canada,Both sexes,25 to 29 years,2703647,2022
Canada,Both sexes,25 years,526547,2022
Canada,Both sexes,26 years,538973,2022
Canada,Both sexes,27 years,544980,2022
Canada,Both sexes,28 years,543672,2022
Canada,Both sexes,29 years,549475,2022
Canada,Both sexes,30 to 34 years,2782998,2022
Canada,Both sexes,30 years,556107,2022
Canada,Both sexes,31 years,565247,2022
Canada,Both sexes,32 years,568322,2022
Canada,Both sexes,33 years,552646,2022
Canada,Both sexes,34 years,540676,2022
Canada,Both sexes,35 to 39 years,2718849,2022
Canada,Both sexes,35 years,541350,2022
Canada,Both sexes,36 years,549301,2022
Canada,Both sexes,37 years,547288,2022
Canada,Both sexes,38 years,543321,2022
Canada,Both sexes,39 years,537589,2022
Canada,Both sexes,40 to 44 years,2573624,2022
Canada,Both sexes,40 years,531322,2022
Canada,Both sexes,41 years,526771,2022
Canada,Both sexes,42 years,518726,2022
Canada,Both sexes,43 years,503770,2022
Canada,Both sexes,44 years,493035,2022
Canada,Both sexes,45 to 49 years,2405593,2022
Canada,Both sexes,45 years,489771,2022
Canada,Both sexes,46 years,486911,2022
Canada,Both sexes,47 years,484168,2022
Canada,Both sexes,48 years,473273,2022
Canada,Both sexes,49 years,471470,2022
Canada,Both sexes,50 to 54 years,2423627,2022
Canada,Both sexes,50 years,476920,2022
Canada,Both sexes,51 years,492669,2022
Canada,Both sexes,52 years,490994,2022
Canada,Both sexes,53 years,483939,2022
Canada,Both sexes,54 years,479105,2022
Canada,Both sexes,55 to 59 years,2635125,2022
Canada,Both sexes,55 years,482718,2022
Canada,Both sexes,56 years,507287,2022
Canada,Both sexes,57 years,538217,2022
Canada,Both sexes,58 years,552263,2022
Canada,Both sexes,59 years,554640,2022
Canada,Both sexes,60 to 64 years,2640008,2022
Canada,Both sexes,60 years,539991,2022
Canada,Both sexes,61 years,541178,2022
Canada,Both sexes,62 years,531676,2022
Canada,Both sexes,63 years,517624,2022
Canada,Both sexes,64 years,509539,2022
Canada,Both sexes,65 to 69 years,2308096,2022
Canada,Both sexes,65 years,494544,2022
Canada,Both sexes,66 years,477815,2022
Canada,Both sexes,67 years,468097,2022
Canada,Both sexes,68 years,445829,2022
Canada,Both sexes,69 years,421811,2022
Canada,Both sexes,70 to 74 years,1879942,2022
Canada,Both sexes,70 years,401707,2022
Canada,Both sexes,71 years,388048,2022
Canada,Both sexes,72 years,374396,2022
Canada,Both sexes,73 years,361155,2022
Canada,Both sexes,74 years,354636,2022
Canada,Both sexes,75 to 79 years,1381797,2022
Canada,Both sexes,75 years,346069,2022
Canada,Both sexes,76 years,290197,2022
Canada,Both sexes,77 years,263687,2022
Canada,Both sexes,78 years,249344,2022
Canada,Both sexes,79 years,232500,2022
Canada,Both sexes,80 to 84 years,878761,2022
Canada,Both sexes,80 years,209066,2022
Canada,Both sexes,81 years,192127,2022
Canada,Both sexes,82 years,173614,2022
Canada,Both sexes,83 years,159139,2022
Canada,Both sexes,84 years,144815,2022
Canada,Both sexes,85 to 89 years,530078,2022
Canada,Both sexes,85 years,129516,2022
Canada,Both sexes,86 years,119531,2022
Canada,Both sexes,87 years,105121,2022
Canada,Both sexes,88 years,92491,2022
Canada,Both sexes,89 years,83419,2022
Canada,Both sexes,90 to 94 years,260752,2022
Canada,Both sexes,90 years,72546,2022
Canada,Both sexes,91 years,63142,2022
Canada,Both sexes,92 years,51484,2022
Canada,Both sexes,93 years,40576,2022
Canada,Both sexes,94 years,33004,2022
Canada,Both sexes,95 to 99 years,77694,2022
Canada,Both sexes,95 years,25340,2022
Canada,Both sexes,96 years,19544,2022
Canada,Both sexes,97 years,14593,2022
Canada,Both sexes,98 years,10874,2022
Canada,Both sexes,99 years,7343,2022
Canada,Both sexes,100 years and over,13485,2022
Canada,Both sexes,0 to 14 years,6070576,2022
Canada,Both sexes,0 to 15 years,6489341,2022
Canada,Both sexes,0 to 16 years,6902068,2022
Canada,Both sexes,0 to 17 years,7314075,2022
Canada,Both sexes,15 to 49 years,17829961,2022
Canada,Both sexes,15 to 64 years,25528721,2022
Canada,Both sexes,16 to 64 years,25109956,2022
Canada,Both sexes,17 to 64 years,24697229,2022
Canada,Both sexes,18 years and over,31615827,2022
Canada,Both sexes,18 to 64 years,24285222,2022
Canada,Both sexes,18 to 24 years,3401751,2022
Canada,Both sexes,25 to 44 years,10779118,2022
Canada,Both sexes,45 to 64 years,10104353,2022
Canada,Both sexes,65 years and over,7330605,2022
Canada,Both sexes,90 years and over,351931,2022
Canada,Males,All ages,19357704,2022
Canada,Males,0 to 4 years,964696,2022
Canada,Males,0 years,189171,2022
Canada,Males,1 year,187057,2022
Canada,Males,2 years,192330,2022
Canada,Males,3 years,195472,2022
Canada,Males,4 years,200666,2022
Canada,Males,5 to 9 years,1056692,2022
Canada,Males,5 years,205708,2022
Canada,Males,6 years,209992,2022
Canada,Males,7 years,212390,2022
Canada,Males,8 years,213132,2022
Canada,Males,9 years,215470,2022
Canada,Males,10 to 14 years,1084824,2022
Canada,Males,10 years,215502,2022
Canada,Males,11 years,214858,2022
Canada,Males,12 years,217912,2022
Canada,Males,13 years,218842,2022
Canada,Males,14 years,217710,2022
Canada,Males,15 to 19 years,1082693,2022
Canada,Males,15 years,212863,2022
Canada,Males,16 years,209532,2022
Canada,Males,17 years,209615,2022
Canada,Males,18 years,218147,2022
Canada,Males,19 years,232536,2022
Canada,Males,20 to 24 years,1313100,2022
Canada,Males,20 years,246146,2022
Canada,Males,21 years,256633,2022
Canada,Males,22 years,267732,2022
Canada,Males,23 years,269495,2022
Canada,Males,24 years,273094,2022
Canada,Males,25 to 29 years,1403901,2022
Canada,Males,25 years,276224,2022
Canada,Males,26 years,280431,2022
Canada,Males,27 years,283554,2022
Canada,Males,28 years,281027,2022
Canada,Males,29 years,282665,2022
Canada,Males,30 to 34 years,1417447,2022
Canada,Males,30 years,284258,2022
Canada,Males,31 years,288713,2022
Canada,Males,32 years,289583,2022
Canada,Males,33 years,281378,2022
Canada,Males,34 years,273515,2022
Canada,Males,35 to 39 years,1370181,2022
Canada,Males,35 years,273736,2022
Canada,Males,36 years,278041,2022
Canada,Males,37 years,276010,2022
Canada,Males,38 years,273272,2022
Canada,Males,39 years,269122,2022
Canada,Males,40 to 44 years,1278613,2022
Canada,Males,40 years,264932,2022
Canada,Males,41 years,262523,2022
Canada,Males,42 years,257772,2022
Canada,Males,43 years,249200,2022
Canada,Males,44 years,244186,2022
Canada,Males,45 to 49 years,1190306,2022
Canada,Males,45 years,242128,2022
Canada,Males,46 years,240828,2022
Canada,Males,47 years,239811,2022
Canada,Males,48 years,233883,2022
Canada,Males,49 years,233656,2022
Canada,Males,50 to 54 years,1202350,2022
Canada,Males,50 years,236805,2022
Canada,Males,51 years,244677,2022
Canada,Males,52 years,243972,2022
Canada,Males,53 years,239595,2022
Canada,Males,54 years,237301,2022
Canada,Males,55 to 59 years,1308415,2022
Canada,Males,55 years,239313,2022
Canada,Males,56 years,252362,2022
Canada,Males,57 years,267326,2022
Canada,Males,58 years,274279,2022
Canada,Males,59 years,275135,2022
Canada,Males,60 to 64 years,1299750,2022
Canada,Males,60 years,267142,2022
Canada,Males,61 years,266933,2022
Canada,Males,62 years,261643,2022
Canada,Males,63 years,253823,2022
Canada,Males,64 years,250209,2022
Canada,Males,65 to 69 years,1118232,2022
Canada,Males,65 years,241272,2022
Canada,Males,66 years,232733,2022
Canada,Males,67 years,226818,2022
Canada,Males,68 years,214660,2022
Canada,Males,69 years,202749,2022
Canada,Males,70 to 74 years,897586,2022
Canada,Males,70 years,192925,2022
Canada,Males,71 years,186293,2022
Canada,Males,72 years,178857,2022
Canada,Males,73 years,171545,2022
Canada,Males,74 years,167966,2022
Canada,Males,75 to 79 years,647403,2022
Canada,Males,75 years,163568,2022
Canada,Males,76 years,136499,2022
Canada,Males,77 years,123514,2022
Canada,Males,78 years,116093,2022
Canada,Males,79 years,107729,2022
Canada,Males,80 to 84 years,391174,2022
Canada,Males,80 years,95533,2022
Canada,Males,81 years,86111,2022
Canada,Males,82 years,77231,2022
Canada,Males,83 years,69733,2022
Canada,Males,84 years,62566,2022
Canada,Males,85 to 89 years,216618,2022
Canada,Males,85 years,55211,2022
Canada,Males,86 years,49865,2022
Canada,Males,87 years,42582,2022
Canada,Males,88 years,36749,2022
Canada,Males,89 years,32211,2022
Canada,Males,90 to 94 years,90572,2022
Canada,Males,90 years,26946,2022
Canada,Males,91 years,22485,2022
Canada,Males,92 years,17735,2022
Canada,Males,93 years,13241,2022
Canada,Males,94 years,10165,2022
Canada,Males,95 to 99 years,20532,2022
Canada,Males,95 years,7351,2022
Canada,Males,96 years,5460,2022
Canada,Males,97 years,3702,2022
Canada,Males,98 years,2487,2022
Canada,Males,99 years,1532,2022
Canada,Males,100 years and over,2619,2022
Canada,Males,0 to 14 years,3106212,2022
Canada,Males,0 to 15 years,3319075,2022
Canada,Males,0 to 16 years,3528607,2022
Canada,Males,0 to 17 years,3738222,2022
Canada,Males,15 to 49 years,9056241,2022
Canada,Males,15 to 64 years,12866756,2022
Canada,Males,16 to 64 years,12653893,2022
Canada,Males,17 to 64 years,12444361,2022
Canada,Males,18 years and over,15619482,2022
Canada,Males,18 to 64 years,12234746,2022
Canada,Males,18 to 24 years,1763783,2022
Canada,Males,25 to 44 years,5470142,2022
Canada,Males,45 to 64 years,5000821,2022
Canada,Males,65 years and over,3384736,2022
Canada,Males,90 years and over,113723,2022
Canada,Females,All ages,19572198,2022
Canada,Females,0 to 4 years,916403,2022
Canada,Females,0 years,179466,2022
Canada,Females,1 year,176905,2022
Canada,Females,2 years,183079,2022
Canada,Females,3 years,186340,2022
Canada,Females,4 years,190613,2022
Canada,Females,5 to 9 years,1005880,2022
Canada,Females,5 years,194995,2022
Canada,Females,6 years,200042,2022
Canada,Females,7 years,202020,2022
Canada,Females,8 years,203922,2022
Canada,Females,9 years,204901,2022
Canada,Females,10 to 14 years,1042081,2022
Canada,Females,10 years,206365,2022
Canada,Females,11 years,205547,2022
Canada,Females,12 years,209718,2022
Canada,Females,13 years,209982,2022
Canada,Females,14 years,210469,2022
Canada,Females,15 to 19 years,1042279,2022
Canada,Females,15 years,205902,2022
Canada,Females,16 years,203195,2022
Canada,Females,17 years,202392,2022
Canada,Females,18 years,210074,2022
Canada,Females,19 years,220716,2022
Canada,Females,20 to 24 years,1207178,2022
Canada,Females,20 years,230546,2022
Canada,Females,21 years,238591,2022
Canada,Females,22 years,246098,2022
Canada,Females,23 years,244126,2022
Canada,Females,24 years,247817,2022
Canada,Females,25 to 29 years,1299746,2022
Canada,Females,25 years,250323,2022
Canada,Females,26 years,258542,2022
Canada,Females,27 years,261426,2022
Canada,Females,28 years,262645,2022
Canada,Females,29 years,266810,2022
Canada,Females,30 to 34 years,1365551,2022
Canada,Females,30 years,271849,2022
Canada,Females,31 years,276534,2022
Canada,Females,32 years,278739,2022
Canada,Females,33 years,271268,2022
Canada,Females,34 years,267161,2022
Canada,Females,35 to 39 years,1348668,2022
Canada,Females,35 years,267614,2022
Canada,Females,36 years,271260,2022
Canada,Females,37 years,271278,2022
Canada,Females,38 years,270049,2022
Canada,Females,39 years,268467,2022
Canada,Females,40 to 44 years,1295011,2022
Canada,Females,40 years,266390,2022
Canada,Females,41 years,264248,2022
Canada,Females,42 years,260954,2022
Canada,Females,43 years,254570,2022
Canada,Females,44 years,248849,2022
Canada,Females,45 to 49 years,1215287,2022
Canada,Females,45 years,247643,2022
Canada,Females,46 years,246083,2022
Canada,Females,47 years,244357,2022
Canada,Females,48 years,239390,2022
Canada,Females,49 years,237814,2022
Canada,Females,50 to 54 years,1221277,2022
Canada,Females,50 years,240115,2022
Canada,Females,51 years,247992,2022
Canada,Females,52 years,247022,2022
Canada,Females,53 years,244344,2022
Canada,Females,54 years,241804,2022
Canada,Females,55 to 59 years,1326710,2022
Canada,Females,55 years,243405,2022
Canada,Females,56 years,254925,2022
Canada,Females,57 years,270891,2022
Canada,Females,58 years,277984,2022
Canada,Females,59 years,279505,2022
Canada,Females,60 to 64 years,1340258,2022
Canada,Females,60 years,272849,2022
Canada,Females,61 years,274245,2022
Canada,Females,62 years,270033,2022
Canada,Females,63 years,263801,2022
Canada,Females,64 years,259330,2022
Canada,Females,65 to 69 years,1189864,2022
Canada,Females,65 years,253272,2022
Canada,Females,66 years,245082,2022
Canada,Females,67 years,241279,2022
Canada,Females,68 years,231169,2022
Canada,Females,69 years,219062,2022
Canada,Females,70 to 74 years,982356,2022
Canada,Females,70 years,208782,2022
Canada,Females,71 years,201755,2022
Canada,Females,72 years,195539,2022
Canada,Females,73 years,189610,2022
Canada,Females,74 years,186670,2022
Canada,Females,75 to 79 years,734394,2022
Canada,Females,75 years,182501,2022
Canada,Females,76 years,153698,2022
Canada,Females,77 years,140173,2022
Canada,Females,78 years,133251,2022
Canada,Females,79 years,124771,2022
Canada,Females,80 to 84 years,487587,2022
Canada,Females,80 years,113533,2022
Canada,Females,81 years,106016,2022
Canada,Females,82 years,96383,2022
Canada,Females,83 years,89406,2022
Canada,Females,84 years,82249,2022
Canada,Females,85 to 89 years,313460,2022
Canada,Females,85 years,74305,2022
Canada,Females,86 years,69666,2022
Canada,Females,87 years,62539,2022
Canada,Females,88 years,55742,2022
Canada,Females,89 years,51208,2022
Canada,Females,90 to 94 years,170180,2022
Canada,Females,90 years,45600,2022
Canada,Females,91 years,40657,2022
Canada,Females,92 years,33749,2022
Canada,Females,93 years,27335,2022
Canada,Females,94 years,22839,2022
Canada,Females,95 to 99 years,57162,2022
Canada,Females,95 years,17989,2022
Canada,Females,96 years,14084,2022
Canada,Females,97 years,10891,2022
Canada,Females,98 years,8387,2022
Canada,Females,99 years,5811,2022
Canada,Females,100 years and over,10866,2022
Canada,Females,0 to 14 years,2964364,2022
Canada,Females,0 to 15 years,3170266,2022
Canada,Females,0 to 16 years,3373461,2022
Canada,Females,0 to 17 years,3575853,2022
Canada,Females,15 to 49 years,8773720,2022
Canada,Females,15 to 64 years,12661965,2022
Canada,Females,16 to 64 years,12456063,2022
Canada,Females,17 to 64 years,12252868,2022
Canada,Females,18 years and over,15996345,2022
Canada,Females,18 to 64 years,12050476,2022
Canada,Females,18 to 24 years,1637968,2022
Canada,Females,25 to 44 years,5308976,2022
Canada,Females,45 to 64 years,5103532,2022
Canada,Females,65 years and over,3945869,2022
Canada,Females,90 years and over,238208,2022
